"","Company_Name","Amount_Dollars","Sector","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Fund_Name","Fund_EIN","Date"
"57","Svava Pte. Ltd.",133450,"Gen AI","Singapore","Asia","6001 Beach Road, #22-01, Golden Mile Tower Singapore 199589","svava.io","N/A","AI coworking agents","Valar Fund VII LP","86-2223256","7/7/2021"
"58","Newcold Corby Holding II B.V.",102724,"NA","Netherlands","Europe","Gravinnen Van Nassauboulevard 105 4811 BN Breda, Netherlands",NA,"N/A","[No verifiable details]","WCP Newcold, LP","47-3997648","Various"
"59","Shares S.A.S",137371,"Cryptocurrency & Stock","France","Europe","21 Rue des Filles du Calvaire Paris, France, 75003","shares.io","N/A","Stock trading software","Valar Fund VII LP","86-2223256","Various"
"60","Portofino Technologies AG",148019,"Cryptocurrency & Stock","Switzerland","Europe","Dammstrasse 18 6300 Zug, Switzerland","portofino.tech","N/A","Software infrastructure for cryptocurrency","Valar Fund VII LP","86-2223256","Various"
"61","Nufin GmbH",94759,"Software & Tech","Germany","Europe","Ziegelstr. 16 Berlin, 10117, Germany","getmoss.com","N/A","Company accounting software","Valar Fund VII LP","86-2223256","8/31/2021"
"62","Dream Games Holdings Ltd",244940,"Mobile Apps","Turkey","Eurasia","102/60 Sisli Istanbul Turkey","dreamgames.com","N/A","Developer of mobile games including Royal Match and Royal Kingdom","Index Ventures Growth VI (Jersey) L.P.","98-1614524","12/20/2021"
"63","Motorway Online Ltd",153880,"Mobile Apps","United Kingdom","Europe","International House, 24 Holborn Viaduct London, England, EC1A 2BN, UK","motorway.co.uk","N/A","Mobile-first used car reseller","Index Ventures Growth VI (Jersey) L.P.","98-1614524","11/23/2021"
"64","Kuda Technologies Limited",266551,"Banking","United Kingdom","Europe","5 New Street Square London, UK EC4A 3TW","kuda.com","N/A","Mobile banking app based in Africa","Valar Fund VI LP","84-4735286","2/24/2021"
"65","Tangerine Financial Limited",95006,"NA","United Kingdom","Europe","54 Portland Place London, UK W1B 1DY",NA,"N/A","[Company dissolved in 2024]","Sango Capital Partners L.P.","98-1094492","10/15/2021"
"66","Newcold Development BV",1955,"NA","Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","WCP Newcold, LP","47-3997648","12/1/2021"
"67","Newcold Rheine Holdings II BV",12507,"NA","Netherlands","Europe","Gravinnen Van Nassauboulevard 105 Breda, 4811 BN, Netherlands",NA,"N/A","[No verifiable details]","WCP Newcold, LP","47-3997648",NA
"68","Paper Education Company Inc",873406,"Education","Canada","North America","279 Sherbrooke St West, Suite 410 Montreal, Quebec, Canada","paper.co","N/A","Live tutoring for K-12 students","VIA Seed Technology Partners Platform Fund LP","47-5591775","6/22/2021"
"69","Swift Medical Inc",116914,"Medicine & Biotech","Canada","North America","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","swiftmedical.com","N/A","Software that helps doctors treat wounds using smartphone cameras","VIA Seed Technology Partners Platform Fund LP","47-5591775","6/28/2021"
"70","Skywatch Space Applications Inc",154219,"Software & Tech","Canada","North America","14 ERB Street Waterloo, Ontario, Canada","skywatch.com","N/A","Sells geospatial data drawn from near-Earth satellites","VIA Seed Technology Partners Platform Fund LP","47-5591775","5/11/2021"
"71","PW Real Estate Fund III Feeder LP",395802,"NA","Jersey","Europe","1 Waverly Place, Union Street St Helier JE1 1SG, Jersey",NA,"98-1275822","[No verifiable details]","PW Real Estate Fund Ill Feeder LP","98-1275822","7/29/2021"
"72","Plotlogic Pty, Ltd",20560,"Other","Australia","Australia","12 Thompson Street, Bowen Hills QLD 4006 Australia","plotlogic.com","N/A","Provides geologic scanning technology to mining concerns.","DCVC V, LP","83-3076877","1/11/2021"
"73","Bizmo Technologies Pte. Ltd.",46613,"Software & Tech","Singapore","Asia","68 Circular Road #02-01 Singapore, 049422","bizmo-tech.com","N/A","Software development contractor","Valar Fund VI, LP","84-4735286","11/1/2021"
"74","Bizmo Technologies Pte. Ltd.",65272,"Software & Tech","Singapore","Asia","68 Circular Road #02-01 Singapore, 049422","bizmo-tech.com","N/A","Software development contractor","Valar Fund VII LP","86-2223256","11/1/2021"
"75","Swift Medical Inc",20729,"Medicine & Biotech","Canada","North America","1 Richmond Street West, Suite 500 Toronto, Ontario, Canada","swiftmedical.com","N/A","Software that helps doctors treat wounds using smartphone cameras","Data Collective IV, L.P.","81-1924847","6/28/2021"
"76","Aviron Interactive Inc.",94819,"Other","Canada","North America","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7","avironactive.com","N/A","Makes physical fitness and excersise machines","Stripes IV Offshore AIV, LP","98-1423490","12/10/2021"
"77","Aviron Interactive Inc.",64909,"Other","Canada","North America","251 Bartley Drive, Unit 2 Toronto, Ontario, Canada, M4A2N7","avironactive.com","N/A","Makes physical fitness and excersise machines","Stripes V(A) Offshore AIV, LP","98-1576367","12/10/2021"
